id	name	gene_id	exon12	exon3456	species	Superorder	Species_order	Family	Genus	protein_accession	ref	reference_id
XM_007491889	IFNL-Mammal-B	Marsupial	Marsupial		Monodelphis domestica	Unclassified	Didelphimorphia	Didelphidae	Monodelphis			-
XM_027855300	IFNL-Mammal-B	Marsupial	Marsupial		Vombatus ursinus	Unclassified	Diprotodontia	Vombatidae	Vombatus			
XM_027855300	IFNL-Mammal-B	Marsupial	Marsupial		Vombatus ursinus	Unclassified	Diprotodontia	Vombatidae	Vombatus			
XM_006871441	IFNL-Mammal-B	Placental1_Afrotheria1	Placental1	Afrotheria1	Chrysochloris asiatica	Afrotheria	Unclassified	Chrysochloridae	Chrysochloris			
XM_004710488	IFNL-Mammal-B	Placental1_Afrotheria1	Placental1	Afrotheria1	Echinops telfairi	Afrotheria	Unclassified	Tenrecidae	Echinops			
XM_007958477	IFNL-Mammal-B	Placental1_Afrotheria1	Placental1	Afrotheria1	Orycteropus afer	Afrotheria	Tubulidentata	Orycteropodidae	Orycteropus	XP_007956668.1	xA	
XM_007945560	IFNL-Mammal-B	Placental1_Afrotheria1	Placental1	Afrotheria1	Orycteropus afer	Afrotheria	Tubulidentata	Orycteropodidae	Orycteropus	XP_007943751.1	xA	
XM_014117025	IFNL-Mammal-B	Placental1_Carnivore2	Placental1	Carnivore2	Canis lupus	Laurasiatheria	Carnivora	Canidae	Canis			
XM_019818982	IFNL-Mammal-B	Placental1_Carnivore2	Placental1	Carnivore2	Felis catus	Laurasiatheria	Carnivora	Felidae	Felis			
XM_016209157	IFNL-Mammal-B	Placental1_Chiroptera2	Placental1	Chiroptera2	Miniopterus natalensis	Laurasiatheria	Chiroptera	Vespertilionidae	Miniopterus			-
XM_003735566	IFNL-Mammal-B	Placental1_Haplorhine1	Placental1	Haplorhine1	Callithrix jacchus	Euarchontoglires	Primates	Cebidae	Callithrix	XP_003735614.2		
XM_017503063	IFNL-Mammal-B	Placental1_Haplorhine1	Placental1	Haplorhine1	Cebus capucinus	Euarchontoglires	Primates	Cebidae	Cebus	XM_017503063		
XM_011952424	IFNL-Mammal-B	Placental1_Haplorhine1	Placental1	Haplorhine1	Colobus angolensis palliatus	Euarchontoglires	Primates	Cercopithecidae	Colobus			-
NM_172140	IFNL-Mammal-B	Placental1_Haplorhine1	Placental1	Haplorhine1	Homo sapiens	Euarchontoglires	Primates	Hominidae	Homo	NM_172140.1	xE	REF_IFNLb_Mammal_1_MASTER
XM_017656413	IFNL-Mammal-B	Placental1_Manis1	Placental1	Manis1	Manis javanica	Laurasiatheria	Pholidota	Manidae	Manis	XP_017511902.1 		
XM_014732932	IFNL-Mammal-B	Placental1_Perissodatyl1	Placental1	Perissodatyl1	Equus caballus	Laurasiatheria	Perissodactyla	Equidae	Equus	XP_014588418.2 		
XM_021210483	IFNL-Mammal-B	Placental1_Rodent1	Placental1	Rodent1	Mus pahari	Euarchontoglires	Rodentia	Muridae	Mus			-
XM_008854037	IFNL-Mammal-B	Placental1_Rodent1	Placental1	Rodent1	Nannospalax galili	Euarchontoglires	Rodentia	Spalacidae	Nannospalax	XP_008852259.1		REF_IFNLb_Mammal_1_rodent
XM_004430284	IFNL-Mammal-B	Placental1_RTG	Placental1	RTG	Ceratotherium simum	Laurasiatheria	Perissodactyla	Rhinocerotidae	Ceratotherium			
XM_014832969	IFNL-Mammal-B	Placental1_RTG	Placental1	RTG	Equus asinus	Laurasiatheria	Perissodactyla	Equidae	Equus			
NM_001114853	IFNL-Mammal-B	Placental1_RTG	Placental1	RTG	Canis lupus familiaris	Laurasiatheria	Carnivora	Canidae	Canis			-
NM_001040680	IFNL-Mammal-B	Placental1_RTG	Placental1	RTG	Felis catus	Laurasiatheria	Carnivora	Felidae	Felis			-
XM_023626728	IFNL-Mammal-B	Placental1_RTG	Placental1	RTG	Equus caballus	Laurasiatheria	Perissodactyla	Equidae	Equus	XP_023482496.1		
XM_011225064	IFNL-Mammal-B	Placental1_RTG	Placental1	RTG	Ailuropoda melanoleuca	Laurasiatheria	Carnivora	Ursidae	Ailuropoda	XP_011223366.1 	xL	
retroIFNL1a	IFNL-Mammal-B	Placental1_RTG	Placental1	RTG	Ceratotherium	Laurasiatheria	Perissodactyla	Rhinocerotidae	Ceratotherium	NULL		
XM_004687048	IFNL-Mammal-B	Placental1_RTG	Placental1	RTG	Condylura cristata	Laurasiatheria	Insectivora	Talpidae	Condylura	XP_004687105.1 		
XM_017651898	IFNL-Mammal-B	Placental1_RTG	Placental1	RTG	Manis javanica	Laurasiatheria	Pholidota	Manidae	Manis	XP_017507387.1		
XM_005886334	IFNL-Mammal-B	Placental1_RTG	Placental1	RTG	Myotis brandtii	Laurasiatheria	Chiroptera	Vespertilionidae	Myotis	XM_005886334.2		
retroIFNL3	IFNL-Mammal-B	Placental1_RTG	Placental1	RTG	Myotis lucifugus	Laurasiatheria	Chiroptera	Vespertilionidae	Myotis	NW_005871296.1		
NM_001142837	IFNL-Mammal-B	Placental1_RTG	Placental1	RTG	Sus scrofa	Laurasiatheria	Unclassified	Suidae	Sus			
