id	name	species	reference_id	gene_id	clade	vertebrate_lineage	major_subclade	duplicate_type	duplicate_numeric_id	superorder	order	family	genus	protein_accession	ref
XM_011234954	IFNL-A-Mammal	Ailuropoda melanoleuca		IFNL	A	Mammal				Laurasiatheria	Carnivora	Ursidae	Ailuropoda	XP_011233256.1	xL
XM_028165945	IFNL-A-Mammal	Balaenoptera acutorostrata scammoni		IFNL	A	Mammal				Laurasiatheria	Cetacea	Balaenopteridae	Balaenoptera		
XM_007180047	IFNL-A-Mammal	Balaenoptera acutorostrata scammoni		IFNL	A	Mammal				Laurasiatheria	Cetacea	Balaenopteridae	Balaenoptera		
XM_007180046	IFNL-A-Mammal	Balaenoptera acutorostrata scammoni		IFNL	A	Mammal				Laurasiatheria	Cetacea	Balaenopteridae	Balaenoptera		
XM_005219127	IFNL-A-Mammal	Bos taurus		IFNL	A	Mammal				Laurasiatheria	Unclassified	Bovidae	Bos		
XM_025268277	IFNL-A-Mammal	Bubalus bubalis		IFNL	A	Mammal				Laurasiatheria	Unclassified	Bovidae	Bubalus	XP_025124062.1	
XM_008987976	IFNL-A-Mammal	Callithrix jacchus		IFNL	A	Mammal				Euarchontoglires	Primates	Cebidae	Callithrix	XP_008986224.1	
XM_018063271	IFNL-A-Mammal	Capra hircus	-	IFNL	A	Mammal									
XM_020156960	IFNL-A-Mammal	Castor canadensis		IFNL	A	Mammal				Euarchontoglires	Rodentia	Castoridae	Castor	XP_020012549.1	
XM_020156960 	IFNL-A-Mammal	Castor canadensis		IFNL	A	Mammal				Euarchontoglires	Rodentia	Castoridae	Castor		
XM_017503065	IFNL-A-Mammal	Cebus capucinus		IFNL	A	Mammal				Euarchontoglires	Primates	Cebidae	Cebus		
XM_017503067	IFNL-A-Mammal	Cebus capucinus imitator	-	IFNL	A	Mammal									
XM_013522287	IFNL-A-Mammal	Chinchilla lanigera		IFNL	A	Mammal				Euarchontoglires	Rodentia	Chinchillidae	Chinchilla		
XM_007996757	IFNL-A-Mammal	Chlorocebus sabaeus	-	IFNL	A	Mammal									
XM_006878034	IFNL-A-Mammal	Chrysochloris asiatica	-	IFNL	A	Mammal									
XM_024577451	IFNL-A-Mammal	Desmodus rotundus	-	IFNL	A	Mammal									
XM_022525015	IFNL-A-Mammal	Enhydra lutris kenyoni	-	IFNL	A	Mammal									
XM_008140039	IFNL-A-Mammal	Eptesicus fuscus	-	IFNL	A	Mammal									
XM_007524025	IFNL-A-Mammal	Erinaceus europaeus		IFNL	A	Mammal				Laurasiatheria	Insectivora	Erinaceidae	Erinaceus	XP_007524087.1 	
XM_007524024	IFNL-A-Mammal	Erinaceus europaeus	-	IFNL	A	Mammal									
XM_019014912	IFNL-A-Mammal	Gorilla gorilla		IFNL	A	Mammal				Euarchontoglires	Primates	Hominidae	Gorilla		
XM_019015012	IFNL-A-Mammal	Gorilla gorilla gorilla	-	IFNL	A	Mammal									
XM_021239619	IFNL-A-Mammal	Heterocephalus glaber		IFNL	A	Mammal				Euarchontoglires	Rodentia	Bathyergidae	Heterocephalus	XP_021095278.1	
XM_021239678	IFNL-A-Mammal	Heterocephalus glaber		IFNL	A	Mammal				Euarchontoglires	Rodentia	Bathyergidae	Heterocephalus		
XM_021239619	IFNL-A-Mammal	Heterocephalus glaber		IFNL	A	Mammal				Euarchontoglires	Rodentia	Bathyergidae	Heterocephalus		
XM_019666268	IFNL-A-Mammal	Hipposideros armiger		IFNL	A	Mammal				Laurasiatheria	Chiroptera	Hipposideridae	Hipposideros		
XM_019666267	IFNL-A-Mammal	Hipposideros armiger	-	IFNL	A	Mammal									
NM_001276254	IFNL-A-Mammal	Homo sapiens	REF_IFNLa_Mammal_MASTER	IFNL	A	Mammal				Euarchontoglires	Primates	Hominidae	Homo	NM_001276254.2	xE
