taxon	sequenceID	species	species_superorder	species_order	species_family	species_genus	gene_id	vertebrate_lineage	major_subclade	duplicate_type	duplicate_numeric_id	glycosylation_o1_present	glycosylation_o2_present	glycosylation_o3_present	glycosylation_o4_present	glycosylation_o5_present	glycosylation_o6_present
alignment/AL_IFNL_MAMMAL_B/member/ncbi-refseqs/NM_001346937	NM_001346937	Homo sapiens	Euarchontoglires	Primates	Hominidae	Homo	IFNL	Mammal	2	-	2	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated-mammalia/NM_172138	NM_172138	Homo sapiens	Euarchontoglires	Primates	Hominidae	Homo	IFNL	Mammal	2	-	1	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated-mammalia/XM_002829197	XM_002829197	Pongo abelii	Euarchontoglires	Primates	Hominidae	Pongo	IFNL	Mammal	2	-	2	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated-mammalia/XM_003270381	XM_003270381	Nomascus leucogenys	Euarchontoglires	Primates	Hylobatidae	Nomascus	IFNL	Mammal	2	-	2	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated-mammalia/XM_005589166	XM_005589166	Macaca fascicularis	Euarchontoglires	Primates	Cercopithecidae	Macaca	IFNL	Mammal	2	-	2	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated-mammalia/XM_005589169	XM_005589169	Macaca fascicularis	Euarchontoglires	Primates	Cercopithecidae	Macaca	IFNL	Mammal	2	-	2	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated-mammalia/XM_005596230	XM_005596230	Equus caballus	Laurasiatheria	Perissodactyla	Equidae	Equus	IFNL	Mammal	2	-	2	-	-	NAT	-	-	-
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated-mammalia/XM_006096748	XM_006096748	Myotis lucifugus	Laurasiatheria	Chiroptera	Vespertilionidae	Myotis	IFNL	Mammal	2	-	1	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated-mammalia/XM_010330964	XM_010330964	Saimiri boliviensis	Euarchontoglires	Primates	Cebidae	Saimiri	IFNL	Mammal	2	-	2	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated-mammalia/XM_010380920	XM_010380920	Rhinopithecus roxellana	Euarchontoglires	Primates	Cercopithecidae	Rhinopithecus	IFNL	Mammal	2	-	2	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated-mammalia/XM_011764820	XM_011764820	Macaca nemestrina	Euarchontoglires	Primates	Cercopithecidae	Macaca	IFNL	Mammal	2	-	2	-	-	-	-	-	-
