id	name	species	Species	gene_id	vertebrate_lineage	clade	major_subclade	duplicate_id	duplicate_type	duplicate_numeric_id	Superorder	Species_order	Family	Genus	protein_accession	ref	reference_id
NM_001128496	IFNL-B-Aves	Gallus gallus	Gallus gallus	IFNL	Aves	1											
NM_001310792	IFNL-B-Aves	Anas platyrhynchos	Anas platyrhynchos	IFNL	Aves	1											
XM_003207378	IFNL-B-Aves	Meleagris gallopavo	Meleagris gallopavo	IFNL	Aves	1					Neognathae	Galliformes	Phasianidae	Meleagris			
XM_005049042	IFNL-B-Aves	Ficedula albicollis	Ficedula albicollis	IFNL	Aves	1											
XM_005244420	IFNL-B-Aves	Falco peregrinus	Falco peregrinus	IFNL	Aves	1											
XM_005435995	IFNL-B-Aves	Falco cherrug	Falco cherrug	IFNL	Aves	1											
XM_005501688	IFNL-B-Aves	Columba livia	Columba livia	IFNL	Aves	1					Neognathae	Columbiformes	Columbidae	Columba			
XM_005528932	IFNL-B-Aves	Pseudopodoces humilis	Pseudopodoces humilis	IFNL	Aves	1											
XM_008504894	IFNL-B-Aves	Calypte anna	Calypte anna	IFNL	Aves	1											
XM_008937521	IFNL-B-Aves	Merops nubicus	Merops nubicus	IFNL	Aves	1											
XM_009074191	IFNL-B-Aves	Acanthisitta chloris	Acanthisitta chloris	IFNL	Aves	1											
XM_009285125	IFNL-B-Aves	Aptenodytes forsteri	Aptenodytes forsteri	IFNL	Aves	1											
XM_009329638	IFNL-B-Aves	Pygoscelis adeliae	Pygoscelis adeliae	IFNL	Aves	1											
XM_009462244	IFNL-B-Aves	Nipponia nippon	Nipponia nippon	IFNL	Aves	1											
XM_009570129	IFNL-B-Aves	Cuculus canorus	Cuculus canorus	IFNL	Aves	1											
XM_009635480	IFNL-B-Aves	Egretta garzetta	Egretta garzetta	IFNL	Aves	1											
XM_009704658	IFNL-B-Aves	Cariama cristata	Cariama cristata	IFNL	Aves	1											
XM_009871021	IFNL-B-Aves	Apaloderma vittatum	Apaloderma vittatum	IFNL	Aves	1											
XM_009887591	IFNL-B-Aves	Charadrius vociferus	Charadrius vociferus	IFNL	Aves	1											
XM_009900846	IFNL-B-Aves	Dryobates pubescens	Dryobates pubescens	IFNL	Aves	1											
XM_009959982	IFNL-B-Aves	Leptosomus discolor	Leptosomus discolor	IFNL	Aves	1											
XM_010078127	IFNL-B-Aves	Pterocles gutturalis	Pterocles gutturalis	IFNL	Aves	1											
XM_010123054	IFNL-B-Aves	Chlamydotis macqueenii	Chlamydotis macqueenii	IFNL	Aves	1											
