taxon	sequenceID	species	species_superorder	species_order	species_family	species_genus	name	gene_id	glycosylation_o1_present	glycosylation_o2_present	glycosylation_o3_present	glycosylation_o4_present	glycosylation_o5_present	glycosylation_o6_present
alignment/AL_IFNL_MAMMAL_A/member/fasta-curated/IFNL_Mammal_APsi-Hsa	IFNL_Mammal_APsi-Hsa	Homo sapiens	Euarchontoglires	Primates	Hominidae	Homo	IFNL-A-Mammal	Placental1	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_A/member/ncbi-refseqs/NM_001276254	NM_001276254	Homo sapiens	Euarchontoglires	Primates	Hominidae	Homo	IFNL-Mammal-A	Placental1_Haplorhine1	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_A/member/ncbi-curated-mammalia/NM_001276259	NM_001276259	Pan troglodytes	Euarchontoglires	Primates	Hominidae	Pan	IFNL-A-Mammal	Placental1	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_A/member/ncbi-curated-mammalia/XM_004396490	XM_004396490	Odobenus rosmarus divergens	Laurasiatheria	Carnivora	Odobenidae	Odobenus	IFNL-A-Mammal	Placental1	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_A/member/ncbi-curated-mammalia/XM_004396491	XM_004396491	Odobenus rosmarus	Laurasiatheria	Carnivora	Odobenidae	Odobenus	IFNL-A-Mammal	Placental1	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_A/member/ncbi-curated-mammalia/XM_004595181	XM_004595181	Ochotona princeps	Euarchontoglires	Lagomorpha	Ochotonidae	Ochotona	IFNL-A-Mammal	Placental1	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_A/member/ncbi-curated-mammalia/XM_004617296	XM_004617296	Sorex araneus	Laurasiatheria	Insectivora	Soricidae	Sorex	IFNL-A-Mammal	Placental1	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_A/member/ncbi-curated-mammalia/XM_004636883	XM_004636883	Octodon degus	Euarchontoglires	Rodentia	Octodontidae	Octodon	IFNL-A-Mammal	Placental1	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_A/member/ncbi-curated-mammalia/XM_004710487	XM_004710487	Echinops telfairi	Afrotheria	Unclassified	Tenrecidae	Echinops	IFNL-A-Mammal	Placental1	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_A/member/ncbi-curated-mammalia/XM_005219126	XM_005219126	Bos taurus	Laurasiatheria	Unclassified	Bovidae	Bos	IFNL-A-Mammal	Placental1	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_A/member/ncbi-curated-mammalia/XM_005219127	XM_005219127	Bos taurus	Laurasiatheria	Unclassified	Bovidae	Bos	IFNL-A-Mammal	Placental1	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_A/member/ncbi-curated-mammalia/XM_005336481	XM_005336481	Ictidomys tridecemlineatus	Euarchontoglires	Rodentia	Sciuridae	Ictidomys	IFNL-A-Mammal	Placental1	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_A/member/ncbi-curated-mammalia/XM_006878034	XM_006878034	Chrysochloris asiatica	Afrotheria	Unclassified	Chrysochloridae	Chrysochloris	IFNL-A-Mammal	Placental1	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_A/member/ncbi-curated-mammalia/XM_006911731	XM_006911731	Pteropus alecto	Laurasiatheria	Chiroptera	Pteropodidae	Pteropus	IFNL-A-Mammal	Placental1	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_A/member/ncbi-curated-mammalia/XM_007180046	XM_007180046	Balaenoptera acutorostrata scammoni	Laurasiatheria	Cetacea	Balaenopteridae	Balaenoptera	IFNL-A-Mammal	Placental1	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_A/member/ncbi-curated-mammalia/XM_007180047	XM_007180047	Balaenoptera acutorostrata scammoni	Laurasiatheria	Cetacea	Balaenopteridae	Balaenoptera	IFNL-A-Mammal	Placental1	-	-	-	-	-	-
