taxon	sequenceID	species	species_superorder	species_order	species_family	species_genus	gene_id	vertebrate_lineage	major_subclade	duplicate_type	duplicate_numeric_id	glycosylation_o1_present	glycosylation_o1_coverage	glycosylation_o2_present	glycosylation_o2_coverage
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated/HQ201955	HQ201955	-	-	-	-	-	-	-	-	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated/NM_001024673	NM_001024673	-	-	-	-	-	-	-	-	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated/NM_001040680	NM_001040680	-	-	-	-	-	-	-	-	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated/NM_001114853	NM_001114853	-	-	-	-	-	-	-	-	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_B/member/ncbi-refseqs/NM_001142837	NM_001142837	Sus scrofa	Laurasiatheria	Unclassified	Suidae	Sus	IFNL	Mammal	1	rtg	1	-	-	-	-
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated/NM_001166490	NM_001166490	-	-	-	-	-	-	-	-	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated/NM_001290171	NM_001290171	-	-	-	-	-	-	-	-	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_B/member/ncbi-refseqs/NM_001346937	NM_001346937	Homo sapiens	Euarchontoglires	Primates	Hominidae	Homo	IFNL	Mammal	2	-	2	-	-	-	-
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated/NM_172138	NM_172138	-	-	-	-	-	-	-	-	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated/NM_172140	NM_172140	-	-	-	-	-	-	-	-	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated/NM_177396	NM_177396	-	-	-	-	-	-	-	-	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated/XM_001086865	XM_001086865	-	-	-	-	-	-	-	-	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated/XM_002927388	XM_002927388	-	-	-	-	-	-	-	-	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated/XM_003420833	XM_003420833	-	-	-	-	-	-	-	-	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated/XM_003735566	XM_003735566	-	-	-	-	-	-	-	-	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated/XM_004388217	XM_004388217	-	-	-	-	-	-	-	-	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated/XM_004396492	XM_004396492	-	-	-	-	-	-	-	-	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated/XM_004430284	XM_004430284	-	-	-	-	-	-	-	-	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated/XM_004481462	XM_004481462	-	-	-	-	-	-	-	-	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated/XM_004617293	XM_004617293	-	-	-	-	-	-	-	-	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated/XM_004617294	XM_004617294	-	-	-	-	-	-	-	-	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated/XM_004636880	XM_004636880	-	-	-	-	-	-	-	-	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated/XM_004636881	XM_004636881	-	-	-	-	-	-	-	-	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated/XM_004636884	XM_004636884	-	-	-	-	-	-	-	-	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated/XM_004687048	XM_004687048	-	-	-	-	-	-	-	-	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated/XM_004710310	XM_004710310	-	-	-	-	-	-	-	-	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated/XM_004710311	XM_004710311	-	-	-	-	-	-	-	-	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated/XM_004710488	XM_004710488	-	-	-	-	-	-	-	-	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated/XM_005596230	XM_005596230	-	-	-	-	-	-	-	-	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated/XM_006096748	XM_006096748	-	-	-	-	-	-	-	-	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated/XM_006140390	XM_006140390	-	-	-	-	-	-	-	-	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated/XM_006540130	XM_006540130	-	-	-	-	-	-	-	-	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated/XM_006761471	XM_006761471	-	-	-	-	-	-	-	-	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated/XM_006871441	XM_006871441	-	-	-	-	-	-	-	-	-	-	-	-	-	-
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated/XM_006941288	XM_006941288	-	-	-	-	-	-	-	-	-	-	-	-	-	-
