taxon	sequenceID	organism	gene_id	vertebrate_lineage	major_subclade	duplicate_type	duplicate_numeric_id	duplicate_numeric_id	combined
alignment/AL_IFNLb_MAMMAL2/member/ncbi-refseqs/NM_001024673	NM_001024673	Mus musculus	IFNL	Mammal	2	-	-	-	NM_001024673/Mus musculus/IFNL/Mammal/2/2/}
alignment/AL_IFNLb_MAMMAL2/member/ncbi-refseqs/NM_001346937	NM_001346937	Homo sapiens	IFNL	Mammal	2	-	-	-	NM_001346937/Homo sapiens/IFNL/Mammal/2/2/}
alignment/AL_IFNLb_MAMMAL2/member/ncbi-refseqs/NM_172138	NM_172138	Homo sapiens	IFNL	Mammal	2	-	-	-	NM_172138/Homo sapiens/IFNL/Mammal/2/2/}
alignment/AL_IFNLb_MAMMAL2/member/ncbi-refseqs/NM_177396	NM_177396	Mus musculus	IFNL	Mammal	2	-	-	-	NM_177396/Mus musculus/IFNL/Mammal/2/2/}
alignment/AL_IFNLb_MAMMAL2/member/ncbi-refseqs/XM_001086865	XM_001086865	Macaca mulatta	IFNL	Mammal	2	-	-	-	XM_001086865/Macaca mulatta/IFNL/Mammal/2/2/}
alignment/AL_IFNLb_MAMMAL2/member/ncbi-refseqs/XM_002927388	XM_002927388	Ailuropoda melanoleuca	IFNL	Mammal	2	-	-	-	XM_002927388/Ailuropoda melanoleuca/IFNL/Mammal/2/2/}
alignment/AL_IFNLb_MAMMAL2/member/ncbi-refseqs/XM_003420833	XM_003420833	Loxodonta africana	IFNL	Mammal	2	-	-	-	XM_003420833/Loxodonta africana/IFNL/Mammal/2/2/}
alignment/AL_IFNLb_MAMMAL2/member/ncbi-refseqs/XM_003802158	XM_003802158	Otolemur garnettii	IFNL	Mammal	2	-	-	-	XM_003802158/Otolemur garnettii/IFNL/Mammal/2/2/}
alignment/AL_IFNLb_MAMMAL2/member/ncbi-refseqs/XM_004617293	XM_004617293	Sorex araneus	IFNL	Mammal	2	-	-	-	XM_004617293/Sorex araneus/IFNL/Mammal/2/2/}
alignment/AL_IFNLb_MAMMAL2/member/ncbi-refseqs/XM_004636880	XM_004636880	Octodon degus	IFNL	Mammal	2	-	-	-	XM_004636880/Octodon degus/IFNL/Mammal/2/2/}
