taxon	sequenceID	species	species_and_gene_id	species_superorder	species_order	species_family	species_genus	gene_id	glycosylation_o1_35	glycosylation_o2_42	glycosylation_o3_59	glycosylation_o4_72	glycosylation_o4_74	glycosylation_o4_76	glycosylation_o5_103	glycosylation_o6_111	glycosylation_o6_115	glycosylation_o6_116
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated-mammalia-b/HQ201955	HQ201955	Pteropus alecto	HQ201955/Pteropus alecto	Laurasiatheria	Chiroptera	Pteropodidae	Pteropus	Placental2_Chiroptera-6.1	Pteropus alecto | -	Pteropus alecto | -	Pteropus alecto | -	Pteropus alecto | -	Pteropus alecto | -	Pteropus alecto | -	Pteropus alecto | -	Pteropus alecto | -	Pteropus alecto | -	Pteropus alecto | -
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated-mammalia-b/NM_001024673	NM_001024673	Mus musculus	NM_001024673/Mus musculus	Euarchontoglires	Rodentia	Muridae	Mus	Placental2_Rodent-2.2	Mus musculus | -	Mus musculus | -	Mus musculus | -	Mus musculus | -	Mus musculus | -	Mus musculus | -	Mus musculus | -	Mus musculus | -	Mus musculus | -	Mus musculus | -
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated-mammalia-b/NM_001166490	NM_001166490	Sus scrofa	NM_001166490/Sus scrofa	Laurasiatheria	Unclassified	Suidae	Sus	Placental2_Cetartiodactyla-7	Sus scrofa | -	Sus scrofa | -	Sus scrofa | -	Sus scrofa | -	Sus scrofa | -	Sus scrofa | -	Sus scrofa | -	Sus scrofa | -	Sus scrofa | -	Sus scrofa | -
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated-mammalia-b/NM_001290171	NM_001290171	Pteropus alecto	NM_001290171/Pteropus alecto	Laurasiatheria	Chiroptera	Pteropodidae	Pteropus	Placental1_Chiroptera-6.2	Pteropus alecto | -	Pteropus alecto | -	Pteropus alecto | -	Pteropus alecto | -	Pteropus alecto | -	Pteropus alecto | -	Pteropus alecto | -	Pteropus alecto | -	Pteropus alecto | -	Pteropus alecto | -
alignment/AL_IFNL_MAMMAL_B/member/ncbi-refseqs/NM_001346937	NM_001346937	Homo sapiens	NM_001346937/Homo sapiens	Euarchontoglires	Primates	Hominidae	Homo	Placental2_Haplorhine-1.1	Homo sapiens | -	Homo sapiens | -	Homo sapiens | -	Homo sapiens | -	Homo sapiens | -	Homo sapiens | -	Homo sapiens | -	Homo sapiens | -	Homo sapiens | -	Homo sapiens | -
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated-mammalia-b/NM_172138	NM_172138	Homo sapiens	NM_172138/Homo sapiens	Euarchontoglires	Primates	Hominidae	Homo	Placental2_Haplorhine-1.1	Homo sapiens | -	Homo sapiens | -	Homo sapiens | -	Homo sapiens | -	Homo sapiens | -	Homo sapiens | -	Homo sapiens | -	Homo sapiens | -	Homo sapiens | -	Homo sapiens | -
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated-mammalia-b/NM_177396	NM_177396	Mus musculus	NM_177396/Mus musculus	Euarchontoglires	Rodentia	Muridae	Mus	Placental2_Rodent-2.2	Mus musculus | -	Mus musculus | -	Mus musculus | -	Mus musculus | -	Mus musculus | -	Mus musculus | -	Mus musculus | -	Mus musculus | -	Mus musculus | -	Mus musculus | -
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated-mammalia-b/XM_001086865	XM_001086865	Macaca mulatta	XM_001086865/Macaca mulatta	Euarchontoglires	Primates	Cercopithecidae	Macaca	Placental2_Haplorhine-1.1	Macaca mulatta | -	Macaca mulatta | -	Macaca mulatta | -	Macaca mulatta | -	Macaca mulatta | -	Macaca mulatta | -	Macaca mulatta | -	Macaca mulatta | -	Macaca mulatta | -	Macaca mulatta | -
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated-mammalia-b/XM_002829197	XM_002829197	Pongo abelii	XM_002829197/Pongo abelii	Euarchontoglires	Primates	Hominidae	Pongo	Placental2_Haplorhine-1.1	Pongo abelii | -	Pongo abelii | -	Pongo abelii | -	Pongo abelii | -	Pongo abelii | -	Pongo abelii | -	Pongo abelii | -	Pongo abelii | -	Pongo abelii | -	Pongo abelii | -
alignment/AL_IFNL_MAMMAL_B/member/ncbi-curated-mammalia-b/XM_002927388	XM_002927388	Ailuropoda melanoleuca	XM_002927388/Ailuropoda melanoleuca	Laurasiatheria	Carnivora	Ursidae	Ailuropoda	Placental2_Carnivore-10	Ailuropoda melanoleuca | -	Ailuropoda melanoleuca | -	Ailuropoda melanoleuca | -	Ailuropoda melanoleuca | -	Ailuropoda melanoleuca | -	Ailuropoda melanoleuca | -	Ailuropoda melanoleuca | -	Ailuropoda melanoleuca | -	Ailuropoda melanoleuca | -	Ailuropoda melanoleuca | -
